time,port_target_error_x_mm,port_target_error_y_mm,port_target_error_z_mm,plug_tip_error_x_mm,plug_tip_error_y_mm,plug_tip_error_z_mm,port_marker_camera_count,plug_marker_camera_count
1.079000000000000092e+01,-2.358129590399327125e-01,1.285645373901300736e-01,-5.959992464436014714e-01,6.640352085849621222e-01,3.641175461215895304e-01,-6.050329315421265619e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.080000000000000071e+01,-6.608177788688940346e-02,-1.605479448768543094e-02,3.345308191592399893e-01,-5.167311495067605787e-01,-2.331918455397152812e-01,-6.815368590435966212e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.081000000000000050e+01,-9.508484442189157892e-01,5.567264698371765519e-01,3.114150021592543283e-01,-1.588607249503687369e+00,3.914960455205229728e-01,5.372632668445564974e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.082000000000000028e+01,5.476956795727461191e-02,7.880028677039740970e-01,7.728196426434186250e-01,1.740348292920690376e-01,-4.426092377374235554e-01,7.383128713032149903e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.083000000000000007e+01,-3.717918356539173796e-01,1.006802119987215693e+00,5.433552078605297098e-01,5.376931745487700809e-02,8.530114812295153115e-01,-2.926518418708834446e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.083999999999999986e+01,3.018554439406101464e-01,-2.061377331909475252e-01,-2.160483354290976266e-01,9.314722559125576673e-02,-8.013603119418344356e-01,-7.704608092629072758e-02,3.000000000000000000e+00,3.000000000000000000e+00
1.084999999999999964e+01,5.727773969968763534e-01,-3.553896236910825124e-01,-2.380543557753966866e-01,7.600138141566348260e-01,4.173752003507336106e-01,-6.834031518256900029e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.085999999999999943e+01,-1.945570334602048090e-01,2.266955785991120464e-01,-2.657460082058360484e-01,1.952463933234671600e-01,-2.051092280457300632e-01,-2.917549987158096769e-02,3.000000000000000000e+00,3.000000000000000000e+00
1.087000000000000099e+01,4.850683159845492476e-01,7.579130457565086409e-01,-2.682530472365440843e-01,8.083130613580624679e-01,-3.587263887978586752e-01,3.700351935653767299e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.088000000000000078e+01,-6.373574948264626450e-01,1.130347357424676957e+00,1.783668790422687778e-01,-2.104876429605551102e-01,1.282365115241046460e-01,1.090748543298603046e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.089000000000000057e+01,-7.554985826215415701e-01,-2.735146061825233232e-01,-5.166726421784728629e-01,-6.411785835540306788e-01,3.591440720362437666e-01,-3.456288964042153466e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.090000000000000036e+01,8.575809189786953723e-02,2.292872668063217212e-01,7.747426265515278132e-01,-9.728329199004959182e-01,5.248173520214782783e-01,1.111840890810511517e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.091000000000000014e+01,-5.216841464666804873e-01,2.573556538648658076e-02,-2.703332166387184543e-01,5.202628124794939080e-01,9.280361265864844889e-01,5.188604767749627200e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.091999999999999993e+01,1.209859538601129714e+00,-6.494623132640708896e-01,4.441281632358018427e-01,1.151948916063266770e+00,3.005782394499556531e-02,1.838106163090102996e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.092999999999999972e+01,4.059637544952671151e-01,-3.855833647355422222e-01,5.101921734411707376e-01,5.635052954011954274e-01,1.554338188977100188e-01,9.426256803157784248e-02,3.000000000000000000e+00,3.000000000000000000e+00
1.093999999999999950e+01,6.983933631606598080e-01,5.875031207253633703e-01,3.034001022637067280e-01,5.005744681544077590e-01,8.096396412890505268e-01,4.388761586913147994e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.095000000000000107e+01,-9.078767480741739559e-01,2.477542594869763803e-01,5.345155861266048802e-01,3.658349793180526444e-01,3.341337831295199123e-01,5.904404648316985416e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.096000000000000085e+01,1.462784393836819019e+00,-1.695026843969160701e-01,1.436284129198162063e+00,-5.925627195531857350e-01,-5.157778680502378421e-01,-6.274222008384455762e-03,3.000000000000000000e+00,3.000000000000000000e+00
1.097000000000000064e+01,1.122497662570526300e-01,-5.299953996229511688e-04,-3.155591112036226775e-02,1.669705159048906484e-01,1.046760264059032330e-01,2.380325962345608559e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.098000000000000043e+01,-1.052592444453742671e+00,-4.442147654644679200e-01,1.822164827958161482e-01,4.529387583335209300e-01,-1.193439383491146089e-01,-5.545808481178804428e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.099000000000000021e+01,6.016805662644869601e-01,-5.347309928082077946e-01,1.596705484069316228e-01,1.214369100132339785e-01,-1.064861266390382255e+00,2.310481114536910852e-01,3.000000000000000000e+00,3.000000000000000000e+00
1.100000000000000000e+01,-6.020529035829363940e-01,4.084383293616600241e-01,1.237426058418811259e+00,5.978908186764220201e-01,-1.003075773031714135e+00,-8.579841186159287147e-01,3.000000000000000000e+00,3.000000000000000000e+00
