time,x_error_mm,y_error_mm,z_error_mm
4.200999999999999801e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.202000000000000313e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.203000000000000114e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.203999999999999915e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.205000000000000426e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.206000000000000227e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.207000000000000028e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.207999999999999829e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.209000000000000341e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.210000000000000142e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.210999999999999943e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.211999999999999744e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.213000000000000256e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.214000000000000057e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.214999999999999858e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.216000000000000369e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.217000000000000171e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.217999999999999972e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.218999999999999773e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.220000000000000284e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.221000000000000085e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.221999999999999886e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.223000000000000398e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.224000000000000199e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.225000000000000000e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.225999999999999801e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.227000000000000313e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.228000000000000114e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.228999999999999915e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.230000000000000426e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.231000000000000227e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.232000000000000028e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.232999999999999829e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.234000000000000341e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.235000000000000142e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.235999999999999943e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.236999999999999744e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.238000000000000256e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.239000000000000057e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.239999999999999858e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.241000000000000369e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.242000000000000171e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.242999999999999972e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
4.243999999999999773e+01,1.444780352582997196e-02,1.900074832102620519e+02,1.780033290556859527e+01
