time,left_tcp_x,left_tcp_y,left_tcp_z,right_tcp_x,right_tcp_y,right_tcp_z
9.480000000000000426e+00,2.820351734825766732e-01,4.033256493406717214e-01,9.653915024934922595e-01,-1.376658310552043574e-01,3.445894091959840755e-01,9.700670239923230298e-01
9.490000000000000213e+00,2.820222067908344510e-01,4.033370099604474124e-01,9.654020507551368535e-01,-1.376870701460100876e-01,3.445581232510420144e-01,9.700580048296119084e-01
9.500000000000000000e+00,2.820142116906656504e-01,4.033444983808128770e-01,9.654088777363837304e-01,-1.377071638872626458e-01,3.445320191334427240e-01,9.700494146925916494e-01
9.509999999999999787e+00,2.820098144685477815e-01,4.033491903569658144e-01,9.654130195793415581e-01,-1.377263320496285304e-01,3.445107081059777809e-01,9.700414371478854880e-01
9.519999999999999574e+00,2.820078596884701416e-01,4.033519115265822297e-01,9.654152991746853818e-01,-1.377447255784446378e-01,3.444936810071798639e-01,9.700341461346431160e-01
9.529999999999999361e+00,2.820072339665909977e-01,4.033532832947673286e-01,9.654163722451658547e-01,-1.377624864165996055e-01,3.444804144666752665e-01,9.700275350587505008e-01
9.540000000000000924e+00,2.820073304303772899e-01,4.033538332558545547e-01,9.654167279870906615e-01,-1.377797291386963774e-01,3.444704140735032616e-01,9.700215696501284235e-01
9.550000000000000711e+00,2.820078679343939743e-01,4.033540332065719825e-01,9.654167504293247326e-01,-1.377965470902996481e-01,3.444632285971459540e-01,9.700161865628511570e-01
9.560000000000000497e+00,2.820086486210919285e-01,4.033540950207262776e-01,9.654166264718480051e-01,-1.378130049133610147e-01,3.444584516028049159e-01,9.700113112248968106e-01
9.570000000000000284e+00,2.820095367424053645e-01,4.033540928021793204e-01,9.654164353201790671e-01,-1.378291509038244711e-01,3.444557324714445090e-01,9.700068738079906661e-01
9.580000000000000071e+00,2.820104444444832548e-01,4.033540235844791932e-01,9.654161935624248070e-01,-1.378450201314676549e-01,3.444547761022572763e-01,9.700028051328606349e-01
9.589999999999999858e+00,2.820113193700261034e-01,4.033538816229714219e-01,9.654159084139379843e-01,-1.378606330472529895e-01,3.444553268567019377e-01,9.699990358733953100e-01
9.599999999999999645e+00,2.820112287684537478e-01,4.033536784350433280e-01,9.654157993481056188e-01,-1.378264699921101510e-01,3.443581003075559255e-01,9.699789222749153339e-01
9.609999999999999432e+00,2.820103442377132064e-01,4.033546170717013934e-01,9.654166310998334444e-01,-1.377981870794213193e-01,3.442752674005299385e-01,9.699763516522390550e-01
9.620000000000000995e+00,2.820096845940946451e-01,4.033560941137244171e-01,9.654178081795398159e-01,-1.378124251917203780e-01,3.442903567463568293e-01,9.699998785736566598e-01
9.630000000000000782e+00,2.820099743349906984e-01,4.033569601800438553e-01,9.654183679852921252e-01,-1.378662933473989716e-01,3.444147777177152259e-01,9.700425298956749653e-01
9.640000000000000568e+00,2.820116320730517989e-01,4.033572582219467906e-01,9.654182351769755588e-01,-1.379504513206114280e-01,3.446435136737209248e-01,9.700964872436186326e-01
9.650000000000000355e+00,2.820145946389967517e-01,4.033573490811309115e-01,9.654176582601128320e-01,-1.380554841014976497e-01,3.449710799163471786e-01,9.701573752147851781e-01
9.660000000000000142e+00,2.820184583465173422e-01,4.033577389059780915e-01,9.654170598882433341e-01,-1.381741737046553453e-01,3.453943514346579091e-01,9.702240543241611448e-01
9.669999999999999929e+00,2.820227326092618059e-01,4.033586937268909267e-01,9.654167144337671980e-01,-1.383008166720332555e-01,3.459117056614964825e-01,9.702976723237851653e-01
9.679999999999999716e+00,2.820268897582290935e-01,4.033603258928324387e-01,9.654168122439674704e-01,-1.384311995233505066e-01,3.465255479383156922e-01,9.703821132113453762e-01
9.689999999999999503e+00,2.820307031631758554e-01,4.033629849167219006e-01,9.654176504854672380e-01,-1.385643806728072136e-01,3.472383393801287688e-01,9.704831020107282935e-01
9.700000000000001066e+00,2.820343388196128176e-01,4.033668434928068258e-01,9.654193136668179909e-01,-1.386937545794960647e-01,3.480587494242881053e-01,9.706141936908924128e-01
9.710000000000000853e+00,2.820390223651373374e-01,4.033715046568913665e-01,9.654213037224096405e-01,-1.388028517773855219e-01,3.490436664654462673e-01,9.708292329216212657e-01
9.720000000000000639e+00,2.820423951907651272e-01,4.033797209438742537e-01,9.654259044222687214e-01,-1.389734546600670251e-01,3.506716106245376663e-01,9.712726746270532452e-01
9.730000000000000426e+00,2.820399939300977099e-01,4.033912458219918173e-01,9.654342883233595352e-01,-1.394242479964606929e-01,3.534500718612955117e-01,9.721631699466311005e-01
9.740000000000000213e+00,2.820405171419340107e-01,4.033928037096747854e-01,9.654354869199912592e-01,-1.399646874635452065e-01,3.567567263138042843e-01,9.733499336701174620e-01
9.750000000000000000e+00,2.820462578139610876e-01,4.033825106860835508e-01,9.654275382199150046e-01,-1.404632379161860345e-01,3.602839549892599691e-01,9.747229410987583442e-01
9.759999999999999787e+00,2.820561923669527848e-01,4.033635221726339926e-01,9.654127337999677261e-01,-1.408583941175143572e-01,3.638644443648836879e-01,9.762159756202098970e-01
9.769999999999999574e+00,2.820682847204073473e-01,4.033401578020199829e-01,9.653943893526331088e-01,-1.411292214178341275e-01,3.674049775004953333e-01,9.777850090604619515e-01
9.779999999999999361e+00,2.820804975878225540e-01,4.033160313179182666e-01,9.653754284889463078e-01,-1.412772349435104102e-01,3.708500800987877821e-01,9.793967537828938141e-01
9.790000000000000924e+00,2.820913067222239889e-01,4.032933853948281189e-01,9.653577362077437884e-01,-1.413159610108272179e-01,3.741626255669255885e-01,9.810228196049719518e-01
9.800000000000000711e+00,2.820997315905542924e-01,4.032737339048114156e-01,9.653425730934585003e-01,-1.412645921431062435e-01,3.773134462479734164e-01,9.826365617739269975e-01
9.810000000000000497e+00,2.821053313438313115e-01,4.032578003547509504e-01,9.653305414521434757e-01,-1.411439916760260926e-01,3.802761374895076707e-01,9.842117294739909372e-01
9.820000000000000284e+00,2.821081382350805189e-01,4.032456240956069360e-01,9.653216664085207954e-01,-1.409744757348426192e-01,3.830245434931563442e-01,9.857219306023562444e-01
9.830000000000000071e+00,2.821087831101518617e-01,4.032368259183274350e-01,9.653155580431393989e-01,-1.407746936479457589e-01,3.855316479245275429e-01,9.871404682886186777e-01
9.839999999999999858e+00,2.821076744427076788e-01,4.032308192541238512e-01,9.653117231484933392e-01,-1.405612190818717744e-01,3.877691920877171516e-01,9.884403651410071934e-01
9.849999999999999645e+00,2.821051775193136324e-01,4.032269541059872453e-01,9.653096383462579366e-01,-1.403484537967652213e-01,3.897076110753983080e-01,9.895945042200386954e-01
9.859999999999999432e+00,2.821016559470993501e-01,4.032247239089613577e-01,9.653088830794162023e-01,-1.401465301884647907e-01,3.913213792390998758e-01,9.905781209597636083e-01
9.870000000000000995e+00,2.820973736259655418e-01,4.032239393997477661e-01,9.653092785957315680e-01,-1.399578167767445147e-01,3.926190939665360480e-01,9.913858924606734346e-01
9.880000000000000782e+00,2.820925936964770453e-01,4.032246548199541758e-01,9.653108173006792470e-01,-1.397857857254493907e-01,3.936425682913240465e-01,9.920351672277520905e-01
9.890000000000000568e+00,2.820876945322896567e-01,4.032270015174820310e-01,9.653135098191546470e-01,-1.396341151454718044e-01,3.944449193782233465e-01,9.925531036781797267e-01
